fdc_id,name,category,default_unit,grams_per_unit
2646170,Chicken breast (raw),protein,piece,120
2514744,Ground beef 80/20 (raw),protein,g,100
171052,Chicken thigh/leg meat (raw),protein,piece,90
2512381,White rice (raw),grain,cup,185
2346396,Rolled oats,grain,cup,80
171287,Egg (raw),protein,piece,50
2259794,Greek yogurt (plain whole milk),dairy,cup,245
322892,Whole milk (3.25%),dairy,cup,244
172475,Tofu (firm),protein,block,340
321900,Broccoli (raw),vegetable,cup,91
2346401,Russet potato (raw),vegetable,piece,170
170000,Onion (raw),vegetable,piece,110
170393,Carrot (raw),vegetable,piece,61
168462,Spinach (raw),vegetable,cup,30
325871,White bread (commercial),grain,slice,25
